lemma,count
shift,18
trick,18
cloth,18
society,18
dame,18
Howth,18
later,18
stain,18
tribe,18
sugar,18
library,18
evil,18
fling,18
tale,18
bent,18
Queen,18
issue,18
Erin,18
brass,18
drag,18
health,18
march,18
treat,18
jews,18
wise,18
English,18
service,18
path,18
inner,18
Messrs,18
liver,18
May,18
eight,18
guinea,18
nostril,18
stair,18
bald,18
personal,18
observe,18
pop,18
cake,18
i,18
City,18
beast,18
Charles,18
suck,17
oyster,17
Royal,17
doubt,17
neighbour,17
photo,17
post,17
lace,17
seize,17
stream,17
british,17
corpse,17
spectacle,17
tremble,17
bowl,17
fork,17
sport,17
Ward,17
faint,17
anybody,17
unless,17
north,17
sleeve,17
wood,17
mixed,17
belong,17
papa,17
Florry,17
barrel,17
hose,17
properly,17
Monday,17
silly,17
purple,17
mare,17
jump,17
safe,17
shame,17
Ormond,17
staircase,17
accompany,17
declare,17
naughty,17
recall,17
huge,17
stout,17
CARR,17
expression,17
onion,17
presence,17
elbow,17
flush,17
experience,17
otherwise,17
express,17
ink,17
gift,17
butcher,17
smooth,17
prize,17
leather,17
firm,17
intelligence,17
condition,17
Lady,17
silently,17
jarvey,17
forehead,17
scheme,17
thrust,17
garment,17
opinion,17
traveller,16
fifteen,16
nought,16
U.,16
ticket,16
fun,16
funny,16
moral,16
charm,16
lick,16
copy,16
gesture,16
file,16
initial,16
splendid,16
extend,16
Richard,16
Denis,16
rope,16
sock,16
gas,16
capital,16
raw,16
curious,16
womb,16
ha,16
chip,16
fifty,16
coffee,16
twilight,16
possibility,16
got,16
rat,16
costume,16
Madden,16
garter,16
jacket,16
Company,16
strength,16
companion,16
disease,16
maid,16
Don,16
jaw,16
degree,16
flame,16
afar,16
trot,16
similar,16
bench,16
Majesty,16
broad,16
Egypt,16
Spain,16
nerve,16
limb,16
report,16
Flower,16
below,16
Elijah,16
altar,16
La,16
chest,16
puff,16
June,16
KITTY,16
college,16
join,16
tickle,16
Blessed,16
price,16
Green,16
residence,16
aid,16
sway,16
tour,16
swing,16
grass,16
awhile,16
tin,16
hoof,16
plunge,16
news,16
limp,16
merry,16
slap,16
feature,16
strain,16
More,16
duty,16
equal,16
anyone,16
wing,16
stomach,16
Nolan,15
former,15
Rudolph,15
respect,15
c,15
climb,15
volume,15
being,15
bark,15
satisfaction,15
cattle,15
creak,15
uncle,15
evidently,15
constellation,15
exactly,15
meal,15
Vincent,15
jerk,15
Costello,15
choke,15
dust,15
stoop,15
slight,15
Rochford,15
